id,name,code,parentId
AD.06,Sant Julia de Loria,06,AD
AD.05,Ordino,05,AD
AD.04,La Massana,04,AD
AD.03,Encamp,03,AD
AD.02,Canillo,02,AD
AD.07,Andorra la Vella,07,AD
AD.08,Escaldes-Engordany,08,AD
AE.07,Umm al Qaywayn,07,AE
AE.05,Ra's al Khaymah,05,AE
AE.03,Dubai,03,AE
AE.06,Sharjah,06,AE
AE.04,Fujairah,04,AE
AE.02,Ajman,02,AE
AE.01,Abu Dhabi,01,AE
AF.28,Zabul,28,AF
AF.27,Vardak,27,AF
AF.26,Takhar,26,AF
AF.33,Sar-e Pol,33,AF
AF.32,Samangan,32,AF
AF.40,Parwan,40,AF
AF.29,Paktika,29,AF
AF.36,Paktia,36,AF
AF.39,Oruzgan,39,AF
AF.19,Nimroz,19,AF
AF.18,Nangarhar,18,AF
AF.17,Logar,17,AF
AF.35,Laghman,35,AF
AF.24,Kunduz,24,AF
AF.34,Kunar,34,AF
AF.14,Kapisa,14,AF
AF.23,Kandahar,23,AF
AF.13,Kabul,13,AF
AF.31,Jowzjan,31,AF
AF.11,Herat,11,AF
AF.10,Helmand,10,AF
AF.09,Ghowr,09,AF
AF.08,Ghazni,08,AF
AF.07,Faryab,07,AF
AF.06,Farah,06,AF
AF.05,Bamyan,05,AF
AF.30,Balkh,30,AF
AF.03,Baghlan,03,AF
AF.02,Badghis,02,AF
AF.01,Badakhshan,01,AF
AF.37,Khowst,37,AF
AF.38,Nuristan,38,AF
AF.41,Daykundi,41,AF
AF.42,Panjshir,42,AF
AG.08,Saint Philip,08,AG
AG.07,Saint Peter,07,AG
AG.06,Saint Paul,06,AG
AG.05,Saint Mary,05,AG
AG.04,Saint John,04,AG
AG.03,Saint George,03,AG
AG.09,Redonda,09,AG
AG.01,Barbuda,01,AG
AI.11205389,Blowing Point,11205389,AI
AI.11205392,Sandy Ground,11205392,AI
AI.11205393,Sandy Hill,11205393,AI
AI.11205396,The Valley,11205396,AI
AI.11205433,East End,11205433,AI
AI.11205436,North Hill,11205436,AI
AI.11205437,West End,11205437,AI
AI.11205438,South Hill,11205438,AI
AI.11205439,The Quarter,11205439,AI
AI.11205440,North Side,11205440,AI
AI.11205441,Island Harbour,11205441,AI
AI.11205442,George Hill,11205442,AI
AI.11205443,Stoney Ground,11205443,AI
AI.11205444,The Farrington,11205444,AI
AL.40,Berat,40,AL
AL.41,Diber,41,AL
AL.43,Elbasan,43,AL
AL.45,Gjirokaster,45,AL
AL.46,Korce,46,AL
AL.47,Kukes,47,AL
AL.42,Durres,42,AL
AL.44,Fier,44,AL
AL.48,Lezhe,48,AL
AL.49,Shkoder,49,AL
AL.50,Tirana,50,AL
AL.51,Vlore,51,AL
AM.02,Ararat,02,AM
AM.08,Syunik,08,AM
AM.10,Vayots Dzor,10,AM
AM.11,Yerevan,11,AM
AM.01,Aragatsotn,01,AM
AM.03,Armavir,03,AM
AM.04,Gegharkunik,04,AM
AM.05,Kotayk,05,AM
AM.06,Lori,06,AM
AM.07,Shirak,07,AM
AM.09,Tavush,09,AM
AO.18,Lunda Sul,18,AO
AO.17,Luanda Norte,17,AO
AO.14,Moxico,14,AO
AO.04,Cuando Cobango,04,AO
AO.16,Zaire,16,AO
AO.15,Uige,15,AO
AO.12,Malanje,12,AO
AO.20,Luanda,20,AO
AO.05,Cuanza Norte,05,AO
AO.03,Cabinda,03,AO
AO.19,Bengo,19,AO
AO.13,Namibe,13,AO
AO.09,Huila,09,AO
AO.08,Huambo,08,AO
AO.07,Cunene,07,AO
AO.06,Kwanza Sul,06,AO
AO.02,Bie,02,AO
AO.01,Benguela,01,AO
AR.14,Misiones,14,AR
AR.09,Formosa,09,AR
AR.07,Buenos Aires F.D.,07,AR
AR.08,Entre Rios,08,AR
AR.06,Corrientes,06,AR
AR.01,Buenos Aires,01,AR
AR.24,Tucuman,24,AR
AR.23,Tierra del Fuego,23,AR
AR.22,Santiago del Estero,22,AR
AR.21,Santa Fe,21,AR
AR.20,Santa Cruz,20,AR
AR.19,San Luis,19,AR
AR.18,San Juan,18,AR
AR.17,Salta,17,AR
AR.16,Rio Negro,16,AR
AR.15,Neuquen,15,AR
AR.13,Mendoza,13,AR
AR.12,La Rioja,12,AR
AR.11,La Pampa,11,AR
AR.10,Jujuy,10,AR
AR.05,Cordoba,05,AR
AR.04,Chubut,04,AR
AR.03,Chaco,03,AR
AR.02,Catamarca,02,AR
AS.050,Western District,050,AS
AS.040,Swains Island,040,AS
AS.010,Eastern District,010,AS
AS.020,Manu'a,020,AS
AS.030,Rose Island,030,AS
AT.09,Vienna,09,AT
AT.08,Vorarlberg,08,AT
AT.07,Tyrol,07,AT
AT.06,Styria,06,AT
AT.05,Salzburg,05,AT
AT.04,Upper Austria,04,AT
AT.03,Lower Austria,03,AT
AT.02,Carinthia,02,AT
AT.01,Burgenland,01,AT
AU.08,Western Australia,08,AU
AU.05,South Australia,05,AU
AU.03,Northern Territory,03,AU
AU.07,Victoria,07,AU
AU.06,Tasmania,06,AU
AU.04,Queensland,04,AU
AU.02,New South Wales,02,AU
AU.01,Australian Capital Territory,01,AU
AX.211,Mariehamns stad,211,AX
AX.212,Alands landsbygd,212,AX
AX.213,Alands skaergard,213,AX
AZ.12,Beylaqan,12,AZ
AZ.69,Zangilan Rayon,69,AZ
AZ.66,Yardimli,66,AZ
AZ.55,Shusha,55,AZ
AZ.49,Salyan,49,AZ
AZ.46,Sabirabad,46,AZ
AZ.45,Saatli,45,AZ
AZ.13,Bilasuvar Rayon,13,AZ
AZ.36,Neftcala,36,AZ
AZ.35,Nakhichevan,35,AZ
AZ.32,Masally,32,AZ
AZ.31,Lerik,31,AZ
AZ.29,Lankaran,29,AZ
AZ.28,Lacin,28,AZ
AZ.43,Qubadli,43,AZ
AZ.24,Imisli,24,AZ
AZ.18,Fuezuli,18,AZ
AZ.14,Jabrayil,14,AZ
AZ.15,Jalilabad,15,AZ
AZ.08,Astara,08,AZ
AZ.64,Xocali,64,AZ
AZ.02,Aghjabadi Rayon,02,AZ
AZ.03,Agdam,03,AZ
AZ.07,Shirvan,07,AZ
AZ.30,Lankaran Sahari,30,AZ
AZ.56,Shusha City,56,AZ
AZ.57,Tartar Rayon,57,AZ
AZ.61,Xankandi Sahari,61,AZ
AZ.65,Khojavend,65,AZ
AZ.71,Zardab,71,AZ
AZ.70,Zaqatala,70,AZ
AZ.67,Yevlax,67,AZ
AZ.37,Oguz,37,AZ
AZ.59,Ucar,59,AZ
AZ.58,Tovuz,58,AZ
AZ.50,Samaxi,50,AZ
AZ.47,Shaki,47,AZ
AZ.51,Shamkir Rayon,51,AZ
AZ.27,Kurdamir Rayon,27,AZ
AZ.38,Qabala Rayon,38,AZ
AZ.44,Qusar,44,AZ
AZ.42,Quba,42,AZ
AZ.62,Goygol Rayon,62,AZ
AZ.60,Xacmaz,60,AZ
AZ.26,Kalbajar,26,AZ
AZ.40,Qazax,40,AZ
AZ.21,Goranboy,21,AZ
AZ.39,Qakh Rayon,39,AZ
AZ.25,Ismayilli,25,AZ
AZ.22,Goeycay,22,AZ
AZ.17,Shabran,17,AZ
AZ.16,Dashkasan Rayon,16,AZ
AZ.10,Balakan Rayon,10,AZ
AZ.11,Barda,11,AZ
AZ.09,Baki,09,AZ
AZ.01,Abseron,01,AZ
AZ.06,Agsu,06,AZ
AZ.04,Agdas,04,AZ
AZ.19,Gadabay Rayon,19,AZ
AZ.05,Agstafa,05,AZ
AZ.20,Ganja City,20,AZ
AZ.33,Mingacevir City,33,AZ
AZ.34,Naftalan,34,AZ
AZ.41,Qobustan,41,AZ
AZ.52,Samux,52,AZ
AZ.48,Shaki City,48,AZ
AZ.53,Siazan Rayon,53,AZ
AZ.54,Sumqayit,54,AZ
AZ.63,Xizi,63,AZ
AZ.68,Yevlax City,68,AZ
AZ.23,Haciqabul,23,AZ
BA.01,Federation of B&H,01,BA
BA.02,Srpska,02,BA
BA.BRC,Brcko,BRC,BA
BB.11,Saint Thomas,11,BB
BB.10,Saint Philip,10,BB
BB.09,Saint Peter,09,BB
BB.08,Saint Michael,08,BB
BB.07,Saint Lucy,07,BB
BB.06,Saint Joseph,06,BB
BB.05,Saint John,05,BB
BB.04,Saint James,04,BB
BB.03,Saint George,03,BB
BB.02,Saint Andrew,02,BB
BB.01,Christ Church,01,BB
BD.83,Rajshahi Division,83,BD
BD.81,Dhaka,81,BD
BD.84,Chittagong,84,BD
BD.82,Khulna,82,BD
BD.85,Barisal,85,BD
BD.86,Sylhet,86,BD
BD.87,Rangpur Division,87,BD
BD.H,Mymensingh Division,H,BD
BE.BRU,Brussels Capital,BRU,BE
BE.WAL,Wallonia,WAL,BE
BE.VLG,Flanders,VLG,BE
BF.01,Boucle du Mouhoun,01,BF
BF.02,Cascades,02,BF
BF.03,Centre,03,BF
BF.04,Centre-Est,04,BF
BF.05,Centre-Nord,05,BF
BF.06,Centre-Ouest,06,BF
BF.07,Centre-Sud,07,BF
BF.08,Est,08,BF
BF.09,Hauts-Bassins,09,BF
BF.10,Nord,10,BF
BF.11,Plateau-Central,11,BF
BF.12,Sahel,12,BF
BF.13,Sud-Ouest,13,BF
BG.52,Razgrad,52,BG
BG.47,Montana,47,BG
BG.64,Vratsa,64,BG
BG.61,Varna,61,BG
BG.40,Dobrich,40,BG
BG.58,Sofia,58,BG
BG.53,Ruse,53,BG
BG.51,Plovdiv,51,BG
BG.50,Pleven,50,BG
BG.49,Pernik,49,BG
BG.48,Pazardzhik,48,BG
BG.46,Lovech,46,BG
BG.43,Haskovo,43,BG
BG.42,Sofia-Capital,42,BG
BG.39,Burgas,39,BG
BG.38,Blagoevgrad,38,BG
BG.41,Gabrovo,41,BG
BG.44,Kardzhali,44,BG
BG.45,Kyustendil,45,BG
BG.54,Shumen,54,BG
BG.55,Silistra,55,BG
BG.56,Sliven,56,BG
BG.57,Smolyan,57,BG
BG.59,Stara Zagora,59,BG
BG.60,Targovishte,60,BG
BG.62,Veliko Tarnovo,62,BG
BG.63,Vidin,63,BG
BG.65,Yambol,65,BG
BH.15,Muharraq,15,BH
BH.16,Manama,16,BH
BH.17,Southern Governorate,17,BH
BH.19,Northern,19,BH
BI.17,Makamba,17,BI
BI.10,Bururi,10,BI
BI.22,Muramvya,22,BI
BI.13,Gitega,13,BI
BI.21,Ruyigi,21,BI
BI.11,Cankuzo,11,BI
BI.14,Karuzi,14,BI
BI.09,Bubanza,09,BI
BI.12,Cibitoke,12,BI
BI.19,Ngozi,19,BI
BI.15,Kayanza,15,BI
BI.18,Muyinga,18,BI
BI.16,Kirundo,16,BI
BI.20,Rutana,20,BI
BI.23,Mwaro,23,BI
BI.24,Bujumbura Mairie,24,BI
BI.25,Bujumbura Rural,25,BI
BI.26,Rumonge,26,BI
BJ.18,Zou,18,BJ
BJ.16,Oueme,16,BJ
BJ.15,Mono,15,BJ
BJ.10,Borgou,10,BJ
BJ.09,Atlantique,09,BJ
BJ.08,Atakora,08,BJ
BJ.07,Alibori,07,BJ
BJ.11,Collines,11,BJ
BJ.12,Kouffo,12,BJ
BJ.13,Donga,13,BJ
BJ.14,Littoral,14,BJ
BJ.17,Plateau,17,BJ
BM.11,Warwick,11,BM
BM.10,Southampton,10,BM
BM.09,Smith's Parish,09,BM
BM.08,Sandys,08,BM
BM.07,Saint George's Parish,07,BM
BM.06,Saint George,06,BM
BM.05,Pembroke,05,BM
BM.04,Paget,04,BM
BM.02,Hamilton,02,BM
BM.03,Hamilton city,03,BM
BM.01,Devonshire,01,BM
BN.04,Tutong,04,BN
BN.03,Temburong,03,BN
BN.02,Brunei-Muara District,02,BN
BN.01,Belait,01,BN
BO.09,Tarija,09,BO
BO.08,Santa Cruz,08,BO
BO.07,Potosi,07,BO
BO.06,Pando,06,BO
BO.05,Oruro,05,BO
BO.04,La Paz,04,BO
BO.02,Cochabamba,02,BO
BO.01,Chuquisaca,01,BO
BO.03,El Beni,03,BO
BQ.BO,Bonaire,BO,BQ
BQ.SB,Saba,SB,BQ
BQ.SE,Sint Eustatius,SE,BQ
BR.22,Rio Grande do Norte,22,BR
BR.20,Piaui,20,BR
BR.30,Pernambuco,30,BR
BR.17,Paraiba,17,BR
BR.16,Para,16,BR
BR.13,Maranhao,13,BR
BR.06,Ceara,06,BR
BR.03,Amapa,03,BR
BR.02,Alagoas,02,BR
BR.28,Sergipe,28,BR
BR.27,Sao Paulo,27,BR
BR.26,Santa Catarina,26,BR
BR.23,Rio Grande do Sul,23,BR
BR.21,Rio de Janeiro,21,BR
BR.18,Parana,18,BR
BR.15,Minas Gerais,15,BR
BR.11,Mato Grosso do Sul,11,BR
BR.14,Mato Grosso,14,BR
BR.29,Goias,29,BR
BR.07,Federal District,07,BR
BR.08,Espirito Santo,08,BR
BR.05,Bahia,05,BR
BR.31,Tocantins,31,BR
BR.25,Roraima,25,BR
BR.04,Amazonas,04,BR
BR.01,Acre,01,BR
BR.24,Rondonia,24,BR
BS.35,San Salvador,35,BS
BS.18,Ragged Island,18,BS
BS.32,Berry Islands,32,BS
BS.23,New Providence,23,BS
BS.16,Mayaguana,16,BS
BS.15,Long Island,15,BS
BS.13,Inagua,13,BS
BS.22,Harbour Island,22,BS
BS.25,Freeport,25,BS
BS.10,Exuma,10,BS
BS.06,Cat Island,06,BS
BS.05,Bimini,05,BS
BS.24,Acklins,24,BS
BS.36,Black Point,36,BS
BS.37,Central Abaco,37,BS
BS.38,Central Andros,38,BS
BS.39,Central Eleuthera,39,BS
BS.40,Crooked Island and Long Cay,40,BS
BS.41,East Grand Bahama,41,BS
BS.42,Grand Cay,42,BS
BS.43,Hope Town,43,BS
BS.44,Mangrove Cay,44,BS
BS.45,Moore's Island,45,BS
BS.46,North Abaco,46,BS
BS.47,North Andros,47,BS
BS.48,North Eleuthera,48,BS
BS.49,Rum Cay,49,BS
BS.50,South Abaco,50,BS
BS.51,South Andros,51,BS
BS.52,South Eleuthera,52,BS
BS.53,Spanish Wells,53,BS
BS.54,West Grand Bahama,54,BS
BT.05,Bumthang,05,BT
BT.06,Chukha,06,BT
BT.08,Dagana,08,BT
BT.07,Chirang,07,BT
BT.09,Geylegphug,09,BT
BT.10,Haa,10,BT
BT.11,Lhuntse,11,BT
BT.12,Mongar,12,BT
BT.13,Paro,13,BT
BT.14,Pemagatshel,14,BT
BT.15,Punakha,15,BT
BT.16,Samchi,16,BT
BT.17,Samdrup Jongkhar,17,BT
BT.18,Shemgang,18,BT
BT.19,Tashigang,19,BT
BT.20,Thimphu,20,BT
BT.21,Tongsa,21,BT
BT.22,Wangdi Phodrang,22,BT
BT.23,Gasa,23,BT
BT.24,Trashi Yangste,24,BT
BW.10,Ngwaketsi,10,BW
BW.09,South-East,09,BW
BW.08,North-East,08,BW
BW.11,North-West,11,BW
BW.06,Kweneng,06,BW
BW.05,Kgatleng,05,BW
BW.04,Kgalagadi,04,BW
BW.03,Ghanzi,03,BW
BW.12,Chobe,12,BW
BW.01,Central,01,BW
BW.13,City of Francistown,13,BW
BW.14,Gaborone,14,BW
BW.15,Jwaneng,15,BW
BW.16,Lobatse,16,BW
BW.17,Selibe Phikwe,17,BW
BW.18,Sowa Town,18,BW
BY.07,Vitebsk,07,BY
BY.06,Mogilev,06,BY
BY.05,Minsk,05,BY
BY.04,Minsk City,04,BY
BY.03,Grodnenskaya,03,BY
BY.02,Gomel Oblast,02,BY
BY.01,Brest,01,BY
BZ.06,Toledo,06,BZ
BZ.05,Stann Creek,05,BZ
BZ.04,Orange Walk,04,BZ
BZ.03,Corozal,03,BZ
BZ.02,Cayo,02,BZ
BZ.01,Belize,01,BZ
CA.01,Alberta,01,CA
CA.02,British Columbia,02,CA
CA.03,Manitoba,03,CA
CA.04,New Brunswick,04,CA
CA.13,Northwest Territories,13,CA
CA.07,Nova Scotia,07,CA
CA.14,Nunavut,14,CA
CA.08,Ontario,08,CA
CA.09,Prince Edward Island,09,CA
CA.10,Quebec,10,CA
CA.11,Saskatchewan,11,CA
CA.12,Yukon,12,CA
CA.05,Newfoundland and Labrador,05,CA
CD.31,Tshuapa,31,CD
CD.30,Tshopo,30,CD
CD.29,Tanganyika,29,CD
CD.12,South Kivu,12,CD
CD.27,Sankuru,27,CD
CD.11,Nord Kivu,11,CD
CD.25,Mongala,25,CD
CD.10,Maniema,10,CD
CD.23,Kasai-Central,23,CD
CD.04,Kasai-Oriental,04,CD
CD.18,Kasai,18,CD
CD.17,Ituri,17,CD
CD.16,Haut-Uele,16,CD
CD.15,Haut-Lomami,15,CD
CD.02,Equateur,02,CD
CD.13,Bas-Uele,13,CD
CD.22,Lualaba,22,CD
CD.24,Mai-Ndombe,24,CD
CD.20,Kwilu,20,CD
CD.19,Kwango,19,CD
CD.06,Kinshasa,06,CD
CD.08,Bas-Congo,08,CD
CD.14,Haut-Katanga,14,CD
CD.21,Lomami,21,CD
CD.26,Nord-Ubangi,26,CD
CD.28,Sud-Ubangi,28,CD
CF.14,Vakaga,14,CF
CF.11,Ouaka,11,CF
CF.08,Mbomou,08,CF
CF.05,Haut-Mbomou,05,CF
CF.03,Haute-Kotto,03,CF
CF.02,Basse-Kotto,02,CF
CF.01,Bamingui-Bangoran,01,CF
CF.16,Sangha-Mbaere,16,CF
CF.13,Ouham-Pende,13,CF
CF.12,Ouham,12,CF
CF.17,Ombella-M'Poko,17,CF
CF.09,Nana-Mambere,09,CF
CF.07,Lobaye,07,CF
CF.06,Kemo,06,CF
CF.04,Mambere-Kadei,04,CF
CF.15,Nana-Grebizi,15,CF
CF.18,Bangui,18,CF
CG.10,Sangha,10,CG
CG.11,Pool,11,CG
CG.08,Plateaux,08,CG
CG.07,Niari,07,CG
CG.06,Likouala,06,CG
CG.05,Lekoumou,05,CG
CG.04,Kouilou,04,CG
CG.13,Cuvette,13,CG
CG.01,Bouenza,01,CG
CG.12,Brazzaville,12,CG
CG.14,Cuvette-Ouest,14,CG
CG.15,Pointe-Noire,15,CG
CH.ZH,Zurich,ZH,CH
CH.ZG,Zug,ZG,CH
CH.VD,Vaud,VD,CH
CH.VS,Valais,VS,CH
CH.UR,Uri,UR,CH
CH.TI,Ticino,TI,CH
CH.TG,Thurgau,TG,CH
CH.SO,Solothurn,SO,CH
CH.SZ,Schwyz,SZ,CH
CH.SH,Schaffhausen,SH,CH
CH.SG,Saint Gallen,SG,CH
CH.OW,Obwalden,OW,CH
CH.NW,Nidwalden,NW,CH
CH.NE,Neuchatel,NE,CH
CH.LU,Lucerne,LU,CH
CH.JU,Jura,JU,CH
CH.GR,Grisons,GR,CH
CH.GL,Glarus,GL,CH
CH.GE,Geneva,GE,CH
CH.FR,Fribourg,FR,CH
CH.BE,Bern,BE,CH
CH.BS,Basel-City,BS,CH
CH.BL,Basel-Landschaft,BL,CH
CH.AR,Appenzell Ausserrhoden,AR,CH
CH.AI,Appenzell Innerrhoden,AI,CH
CH.AG,Aargau,AG,CH
CI.98,Yamoussoukro,98,CI
CI.76,Bas-Sassandra,76,CI
CI.94,Comoe,94,CI
CI.77,Denguele,77,CI
CI.95,Goh-Djiboua,95,CI
CI.81,Lacs,81,CI
CI.82,Lagunes,82,CI
CI.78,Montagnes,78,CI
CI.96,Sassandra-Marahoue,96,CI
CI.87,Savanes,87,CI
CI.90,Vallee du Bandama,90,CI
CI.97,Woroba,97,CI
CI.92,Zanzan,92,CI
CI.93,Abidjan,93,CI
CK.11695124,Aitutaki,11695124,CK
CK.11695126,Atiu,11695126,CK
CK.11695127,Mangaia,11695127,CK
CK.11695384,Manihiki,11695384,CK
CK.11695385,Ma'uke,11695385,CK
CK.11695386,Mitiaro,11695386,CK
CK.11695387,Palmerston,11695387,CK
CK.11695388,Penrhyn,11695388,CK
CK.11695389,Pukapuka,11695389,CK
CK.11695390,Rakahanga,11695390,CK
CK.11695425,Rarotonga,11695425,CK
CL.01,Valparaiso,01,CL
CL.15,Tarapaca,15,CL
CL.12,Santiago Metropolitan,12,CL
CL.11,Maule Region,11,CL
CL.14,Los Lagos Region,14,CL
CL.08,O'Higgins Region,08,CL
CL.07,Coquimbo Region,07,CL
CL.06,Biobio,06,CL
CL.05,Atacama,05,CL
CL.04,Araucania,04,CL
CL.03,Antofagasta,03,CL
CL.02,Aysen,02,CL
CL.10,Region of Magallanes,10,CL
CL.16,Arica y Parinacota,16,CL
CL.17,Los Rios Region,17,CL
CL.18,Nuble,18,CL
CM.09,South-West,09,CM
CM.14,South,14,CM
CM.08,West,08,CM
CM.07,North-West,07,CM
CM.13,North,13,CM
CM.05,Littoral,05,CM
CM.12,Far North,12,CM
CM.04,East,04,CM
CM.11,Centre,11,CM
CM.10,Adamaoua,10,CM
CN.14,Tibet,14,CN
CN.06,Qinghai,06,CN
CN.13,Xinjiang,13,CN
CN.02,Zhejiang,02,CN
CN.29,Yunnan,29,CN
CN.28,Tianjin,28,CN
CN.32,Sichuan,32,CN
CN.24,Shanxi,24,CN
CN.23,Shanghai,23,CN
CN.25,Shandong,25,CN
CN.26,Shaanxi,26,CN
CN.21,Ningxia Hui Autonomous Region,21,CN
CN.03,Jiangxi,03,CN
CN.04,Jiangsu,04,CN
CN.11,Hunan,11,CN
CN.12,Hubei,12,CN
CN.09,Henan,09,CN
CN.10,Hebei,10,CN
CN.31,Hainan,31,CN
CN.18,Guizhou,18,CN
CN.16,Guangxi,16,CN
CN.30,Guangdong,30,CN
CN.15,Gansu,15,CN
CN.07,Fujian,07,CN
CN.33,Chongqing,33,CN
CN.01,Anhui,01,CN
CN.20,Inner Mongolia,20,CN
CN.19,Liaoning,19,CN
CN.05,Jilin,05,CN
CN.08,Heilongjiang,08,CN
CN.22,Beijing,22,CN
CO.31,Vichada,31,CO
CO.30,Vaupes,30,CO
CO.29,Valle del Cauca,29,CO
CO.28,Tolima,28,CO
CO.27,Sucre,27,CO
CO.26,Santander,26,CO
CO.25,San Andres y Providencia,25,CO
CO.24,Risaralda,24,CO
CO.23,Quindio,23,CO
CO.22,Putumayo,22,CO
CO.21,Norte de Santander,21,CO
CO.20,Narino,20,CO
CO.19,Meta,19,CO
CO.38,Magdalena,38,CO
CO.17,La Guajira,17,CO
CO.16,Huila,16,CO
CO.14,Guaviare,14,CO
CO.15,Guainia,15,CO
CO.33,Cundinamarca,33,CO
CO.12,Cordoba,12,CO
CO.11,Choco,11,CO
CO.10,Cesar,10,CO
CO.09,Cauca,09,CO
CO.32,Casanare,32,CO
CO.08,Caqueta,08,CO
CO.37,Caldas,37,CO
CO.36,Boyaca,36,CO
CO.35,Bolivar,35,CO
